156.985,0.831
115.08,0.719
218.05,0.85
186.948,0.476
147.988,0.798
144.915,0.721
130.826,0.718
138.049,0.694
219.96,0.774
199.942,0.893
189.938,0.864
124.514,0.736
149.97,0.825
139.99,0.767
128.014,0.765
159.996,0.617
199.958,0.755
120.004,0.814
128.066,0.812
212.15,0.849
114.956,0.602
111.958,0.876
139.973,0.777
112.97,0.829
118.03,0.783
141.52,0.787
130.037,0.705
125.013,0.69
139.967,0.799
121.979,0.936
114.771,0.838
130.028,0.964
120.006,0.83
119.999,0.455
117.962,0.748
114.997,0.745
199.974,0.722
150.029,0.657
129.999,0.936
219.808,0.765
209.998,0.65
190.15,0.386
180.218,0.563
129.985,0.777
121.829,0.607
115.503,0.628
191.186,0.468
207.992,0.512
173.993,0.504
117.031,0.608
141.037,0.783
162.12,0.668
119.047,0.528
120.01,0.796
136.462,0.299
217.888,0.644
143.294,0.473
110.337,0.471
115.282,0.665
219.984,0.812
199.651,0.262
150.017,0.571
211.954,0.753
139.987,0.935
211.95,0.726
220.002,0.854
112.027,0.526
131.999,0.84
192.378,0.818
119.994,0.881
134.974,0.77
114.972,0.8
212.022,0.781
119.989,0.817
120.098,0.814
150.018,0.678
140.055,0.755
122.016,0.81
211.95,0.806
130.012,0.89
144.946,0.909
129.988,0.735
129.763,0.698
144.702,0.577
149.867,0.827
159.941,0.68
142.018,0.721
139.961,0.777
215.218,0.579
114.946,0.86
130.837,0.425
155.01,0.494
219.946,0.649
159.94,0.814
158.764,0.37
125.033,0.888
144.981,0.816
150.004,0.713
219.692,0.449
139.804,0.923
220.012,0.832
157.231,0.569
168.298,0.476
179.998,0.403
120.045,0.836
120.058,0.818
119.975,0.849
180.048,0.703
124.863,0.708
136.07,0.852
120.011,0.694
124.993,0.595
161.502,0.721
125.975,0.846
218.082,0.76
120.01,0.529
139.614,0.559
129.004,0.965
172.139,0.596
208.096,0.712
132.999,0.697
120.007,0.841
200.092,0.739
200.074,0.865
200.064,0.775
139.867,0.739
129.961,0.725
210.134,0.63
119.866,0.704
207.852,0.735
119.987,0.864
139.958,0.48
129.992,0.726
219.89,0.755
124.972,0.881
219.988,0.849
184.04,0.602
199.994,0.924
216.152,0.919
133.993,0.848
206.056,0.475
200.094,0.762
203.982,0.789
140.036,0.756
150.008,0.799
119.956,0.931
200.02,0.898
133.052,0.835
208.054,0.716
